id,stop_id,name,linia,stop_type,geometry
B-B82-101493,101493,Rbla. Sant Sebastia - Irlanda,B82,Bus,POINT (2.2146557295 41.450689559)
B-M27-101493,101493,Rbla. Sant Sebastia - Irlanda,M27,Bus,POINT (2.2146557295 41.450689559)
B-M19-101493,101493,Rbla. Sant Sebastia - Irlanda,M19,Bus,POINT (2.2146557295 41.450689559)
B-B81-107049,107049,Riera Alta,B81,Bus,POINT (2.2149060733 41.4566591183)
B-V29-3534,3534,Josep Pla-Pg Garcia Faria,V29,Bus,POINT (2.2178500026 41.4074009971)
B-B23-110475,110475,Metro Maresme / Forum,B23,Bus,POINT (2.2161711015 41.4114838899)
B-B20-2418,2418,Parc del Besos,B20,Bus,POINT (2.2187570054 41.4204299985)
B-H14-2418,2418,Parc del Besos,H14,Bus,POINT (2.2187570054 41.4204299985)
B-B14-105691,105691,Metro Artigues-St. Adria,B14,Bus,POINT (2.2171573449 41.4331804146)
B-B25-110390,110390,Metro Artigues-St. Adria,B25,Bus,POINT (2.2175232489 41.4336229243)
B-B81-101619,101619,Escola Antoni Gaudi,B81,Bus,POINT (2.2161775112 41.4429609276)
B-B81-110050,110050,Sicilia - Verdi,B81,Bus,POINT (2.2169800975 41.4526847289)
B-M27-110050,110050,Sicilia - Verdi,M27,Bus,POINT (2.2169800975 41.4526847289)
B-B82-112129,112129,Metro Fondo,B82,Bus,POINT (2.2182611144 41.4516577616)
B-M19-112129,112129,Metro Fondo,M19,Bus,POINT (2.2182611144 41.4516577616)
B-B15-109929,109929,Peru - Florencia,B15,Bus,POINT (2.2175241859 41.4560449564)
B-B81-107048,107048,Institut La Bastida,B81,Bus,POINT (2.2163834341 41.458089547)
B-B20-2750,2750,St. Ramon de Penyafort - Manuel Fernandez Marquez,B20,Bus,POINT (2.2196919996 41.4150119958)
B-V33-2750,2750,St. Ramon de Penyafort - Manuel Fernandez Marquez,V33,Bus,POINT (2.2196919996 41.4150119958)
B-B14-109261,109261,Escola Pompeu Fabra,B14,Bus,POINT (2.2200337526 41.4316040598)
B-B21-109261,109261,Escola Pompeu Fabra,B21,Bus,POINT (2.2200337526 41.4316040598)
B-B23-109261,109261,Escola Pompeu Fabra,B23,Bus,POINT (2.2200337526 41.4316040598)
B-B20-109261,109261,Escola Pompeu Fabra,B20,Bus,POINT (2.2200337526 41.4316040598)
B-B23-3350,3350,Barri Artigas,B23,Bus,POINT (2.2190089951 41.4345879993)
B-B25-3350,3350,Barri Artigas,B25,Bus,POINT (2.2190089951 41.4345879993)
B-H10-3350,3350,Barri Artigas,H10,Bus,POINT (2.2190089951 41.4345879993)
B-B81-107041,107041,Circumval?lacio - Ura,B81,Bus,POINT (2.2192759149 41.4458858848)
B-B15-107041,107041,Circumval?lacio - Ura,B15,Bus,POINT (2.2192759149 41.4458858848)
B-B80-105947,105947,Metro Fondo,B80,Bus,POINT (2.2186534842 41.4515382363)
B-B81-105947,105947,Metro Fondo,B81,Bus,POINT (2.2186534842 41.4515382363)
B-B82-105947,105947,Metro Fondo,B82,Bus,POINT (2.2186534842 41.4515382363)
