id,stop_id,name,linia,stop_type,geometry
SB-370,370,Pg Maragall - Amílcar,IU Stop,Bus,POINT (2.173041999614413 41.42639699628192)
SB-371,371,Pg Maragall - Sabastida,IU Stop,Bus,POINT (2.1684629984516666 41.427478995797216)
SB-373,373,Diagonal - Entença,IU Stop,Bus,POINT (2.1364049960852523 41.39034000359323)
SB-374,374,Ctra d'Horta - Pg de Valldaura,IU Stop,Bus,POINT (2.153559001612552 41.43727399905685)
SB-375,375,Josep Tarradellas - Av. Sarrià,IU Stop,Bus,POINT (2.143135994141172 41.38950699668602)
SB-376,376,Les Corts - Pl Dr Ignasi Barraquer,IU Stop,Bus,POINT (2.1406340057522226 41.390114997960254)
SB-377,377,Paral·lel - Rocafort,IU Stop,Bus,POINT (2.159400005666472 41.3751080030625)
SB-378,378,Av de Roma - Entença,IU Stop,Bus,POINT (2.1462740033444048 41.382013000375345)
SB-380,380,València - Entença,IU Stop,Bus,POINT (2.1479479953056244 41.38104800303677)
SB-381,381,Clot - Biscaia,IU Stop,Bus,POINT (2.1906309997182007 41.41398799689234)
SB-382,382,Pujades - Espronceda,IU Stop,Bus,POINT (2.205948094456184 41.40571079692167)
SB-383,383,Gran Via - Espronceda,IU Stop,Bus,POINT (2.1976429969766325 41.411676998885746)
SB-384,384,Sant Antoni Maria Claret - Espronceda,IU Stop,Bus,POINT (2.1859719899535524 41.4199150192908)
SB-387,387,Mallorca - Clot,IU Stop,Bus,POINT (2.1905140023160152 41.414916997360734)
SB-388,388,Saldes,IU Stop,Bus,POINT (2.134467776177349 41.42890393660651)
SB-391,391,Metro Hostafrancs,IU Stop,Bus,POINT (2.1448949966384885 41.37515300378189)
SB-392,392,Creu Coberta - Pl Espanya,IU Stop,Bus,POINT (2.1468540030176704 41.37512000315223)
SB-393,393,Av Reina Maria Cristina - Pl Espanya,IU Stop,Bus,POINT (2.1500696898779634 41.37396974022153)
SB-394,394,Tarragona - Pl. Espanya,IU Stop,Bus,POINT (2.1486924072347047 41.37566421941635)
SB-395,395,Marquès de Sentmenat - Equador,IU Stop,Bus,POINT (2.141561002705215 41.38542100182414)
SB-396,396,Berlín - Nicaragua,IU Stop,Bus,POINT (2.1407930053722573 41.38412999763276)
SB-397,397,Josep Tarradellas - Entença,IU Stop,Bus,POINT (2.142476997755231 41.386403002408144)
SB-398,398,Guipúscoa - Julián Besteiro,IU Stop,Bus,POINT (2.1975699950856686 41.416480997000996)
SB-399,399,Llull - Selva de Mar,IU Stop,Bus,POINT (2.2102070031577608 41.40702400270016)
SB-400,400,Hospital HM Delfos,IU Stop,Bus,POINT (2.1429029952334475 41.41342299603056)
SB-402,402,Dante Alighieri - Santa Joana d'Arc,IU Stop,Bus,POINT (2.1601009999599228 41.42845399969366)
SB-406,406,Pg Valldaura - Rambla Caçador,IU Stop,Bus,POINT (2.173478997594824 41.43862999996457)
SB-409,409,Sagrera - Parc de la Pegaso,IU Stop,Bus,POINT (2.190916003287306 41.426316997843095)
SB-410,410,Pl Eivissa - Horta,IU Stop,Bus,POINT (2.1611009982595433 41.43048199878358)
SB-411,411,Tajo - Metro Horta,IU Stop,Bus,POINT (2.161085005280934 41.42952100425227)
SB-412,412,Carles III - Les Corts,IU Stop,Bus,POINT (2.128008003456732 41.38183299831759)
SB-413,413,Av Litoral - Trelawny,IU Stop,Bus,POINT (2.1948027703109134 41.386229829903854)
SB-420,420,Can Clos,IU Stop,Bus,POINT (2.1472939949175323 41.36071200344398)
SB-421,421,Gran Via - Farell,IU Stop,Bus,POINT (2.144950001049232 41.37199299655576)
SB-422,422,Via Sant Antoni Abat,IU Stop,Bus,POINT (2.1509450047744125 41.35656100062373)
SB-423,423,Gran Vista - Turó de la Rovira,IU Stop,Bus,POINT (2.164007998544717 41.42021200408036)
SB-424,424,Garriga i Roca - Camil Oliveras,IU Stop,Bus,POINT (2.1697139985418006 41.42123600281112)
SB-425,425,Montserrat de Casanovas - Parc del Guinardó,IU Stop,Bus,POINT (2.169516001506622 41.42317699571636)
SB-426,426,Montserrat de Casanovas - Ptge Pedrell,IU Stop,Bus,POINT (2.1679809947485884 41.424000004005244)
