trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,timepoint
1909_0299,21:36:00,21:36:10,2026,2,592.947,1
1909_0299,21:38:30,21:38:40,2027,3,1257.009,1
1909_0299,21:40:00,21:40:10,2028,4,1728.381,1
1909_0299,21:42:30,21:42:40,2111,5,2105.376,1
1909_0299,21:45:00,21:45:10,2029,6,2777.129,1
1909_0299,21:47:00,21:47:00,2130,7,3449.903,1
1909_0300,22:03:00,22:03:00,2130,1,0.0,1
1909_0300,22:04:30,22:04:40,2129,2,672.418,1
1909_0300,22:07:00,22:07:10,2011,3,1328.24,1
1909_0300,22:09:00,22:09:10,2128,4,1716.92,1
1909_0300,22:10:30,22:10:40,2127,5,2181.642,1
1909_0300,22:13:00,22:13:10,2126,6,2872.752,1
1909_0300,22:14:30,22:14:30,2125,7,3444.572,1
1909_0301,22:20:00,22:20:00,2125,1,0.0,1
1909_0301,22:21:00,22:21:10,2026,2,592.947,1
1909_0301,22:23:30,22:23:40,2027,3,1257.009,1
1909_0301,22:25:00,22:25:10,2028,4,1728.381,1
1909_0301,22:27:00,22:27:10,2013,5,2236.943,1
